run_id,order_index,block,model,provider,route,requested_model_id,frame,profile_id,profile_text,burden_level,scenario_text,repetition
CAN_H3_00001,1,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P08,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",3
CAN_H3_00002,2,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P06,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",1
CAN_H3_00003,3,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P25,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",1
CAN_H3_00004,4,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P04,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",5
CAN_H3_00005,5,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P09,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",4
CAN_H3_00006,6,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P27,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",3
CAN_H3_00007,7,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P16,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",3
CAN_H3_00008,8,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P22,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",4
CAN_H3_00009,9,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P14,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",5
CAN_H3_00010,10,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P15,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",2
CAN_H3_00011,11,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P12,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",4
CAN_H3_00012,12,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P25,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",1
CAN_H3_00013,13,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P20,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",2
CAN_H3_00014,14,h3,GPT-4.1,OpenAI,openai,gpt-4.1,collective,P24,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",3
CAN_H3_00015,15,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P18,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",1
CAN_H3_00016,16,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P02,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",5
CAN_H3_00017,17,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P14,"A 35-year-old woman living in a suburban area. Her household income is about $55,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",5
CAN_H3_00018,18,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P01,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",5
CAN_H3_00019,19,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P07,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",4
CAN_H3_00020,20,h3,GPT-4.1,OpenAI,openai,gpt-4.1,autonomy,P24,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",1
CAN_H3_00021,21,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P26,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",1
CAN_H3_00022,22,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P04,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",3
CAN_H3_00023,23,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P05,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",3
CAN_H3_00024,24,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P09,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",2
CAN_H3_00025,25,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P09,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",5
CAN_H3_00026,26,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P09,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",2
CAN_H3_00027,27,h3,GPT-4.1,OpenAI,openai,gpt-4.1,neutral,P26,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She is self-employed and controls her own schedule. She has a 3-year-old child. She has a regular doctor but the clinic is far from her home. Her trust in public health authorities is medium.",low,"The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.",2
CAN_H3_00028,28,h3,GPT-4.1,OpenAI,openai,gpt-4.1,equity,P24,"A 35-year-old woman living in a suburban area. Her household income is about $100,000 per year. She has a high school education. She works part-time with somewhat flexible hours. She has a 3-year-old child. She has a regular doctor and can get appointments easily. Her trust in public health authorities is medium.",high,"The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.",4
