model,provider,access_route,requested_model_id,returned_model_id,route_provider,profile_id,burden_level,repetition,profile_text,scenario_text,raw_response,json_valid,willingness,score_valid,rationale,non_refusal,timestamp,temperature,top_p,metadata_json
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,low,1,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 70, ""rationale"": ""The scenario removes major structural barriers this person faces: the extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process respects her time constraints as a working single parent. Her medium trust in public health authorities moderates her enthusiasm somewhat, keeping willingness solidly positive but not maximal.""}",True,70,True,"The scenario removes major structural barriers this person faces: the extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process respects her time constraints as a working single parent. Her medium trust in public health authorities moderates her enthusiasm somewhat, keeping willingness solidly positive but not maximal.",True,2026-06-04T20:26:23.174878+00:00,0,default,"{""id"": ""gen-1780604779-eF2rehwcR0ygjUqsuzBo"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,low,2,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 70, ""rationale"": ""The scenario removes major barriers this person faces: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is manageable. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible logistics make her moderately-to-strongly likely to proceed.""}",True,70,True,"The scenario removes major barriers this person faces: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is manageable. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible logistics make her moderately-to-strongly likely to proceed.",True,2026-06-04T20:26:27.202651+00:00,0,default,"{""id"": ""gen-1780604783-T78thJXlNxNRgCxvtzEO"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,low,3,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 70, ""rationale"": ""The scenario removes most practical barriers that would affect this person: extended evening/weekend hours accommodate her inflexible work schedule, the nearby pharmacy offsets her lack of a regular provider, minimal documentation suits her circumstances, and the short 15-minute commitment is low-burden. Her medium trust in public health authorities tempers full enthusiasm, but the convenience strongly supports a moderately high willingness.""}",True,70,True,"The scenario removes most practical barriers that would affect this person: extended evening/weekend hours accommodate her inflexible work schedule, the nearby pharmacy offsets her lack of a regular provider, minimal documentation suits her circumstances, and the short 15-minute commitment is low-burden. Her medium trust in public health authorities tempers full enthusiasm, but the convenience strongly supports a moderately high willingness.",True,2026-06-04T20:26:30.387435+00:00,0,default,"{""id"": ""gen-1780604787-SqKebHsqmmbNDTkKyfsY"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,low,4,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 68, ""rationale"": ""The scenario removes most of her key barriers: the nearby pharmacy with evening/weekend hours accommodates her inflexible work schedule, no special documentation is needed, and the quick 15-minute process suits a single parent with a young child. Her medium trust in public health authorities and lack of a regular provider temper her willingness somewhat, but the high convenience makes her moderately-to-strongly likely to proceed.""}",True,68,True,"The scenario removes most of her key barriers: the nearby pharmacy with evening/weekend hours accommodates her inflexible work schedule, no special documentation is needed, and the quick 15-minute process suits a single parent with a young child. Her medium trust in public health authorities and lack of a regular provider temper her willingness somewhat, but the high convenience makes her moderately-to-strongly likely to proceed.",True,2026-06-04T20:26:34.359408+00:00,0,default,"{""id"": ""gen-1780604790-LJKBRb3VKL8Qe3Dptf18"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,low,5,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person can schedule the vaccination appointment online. The appointment is available at a nearby pharmacy with extended evening and weekend hours. No documentation is required beyond a standard identification card. The appointment can be confirmed immediately, and the estimated total time required, including check-in and vaccination, is about 15 minutes.","{""willingness"": 68, ""rationale"": ""The scenario removes major barriers that matter for this person: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy bypasses her lack of a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is convenient. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible, low-friction setup makes her moderately-to-fairly likely to proceed.""}",True,68,True,"The scenario removes major barriers that matter for this person: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy bypasses her lack of a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is convenient. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible, low-friction setup makes her moderately-to-fairly likely to proceed.",True,2026-06-04T20:26:40.706522+00:00,0,default,"{""id"": ""gen-1780604794-2TgCnYN0YJGCeLlNY1IK"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,high,1,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""Multiple structural barriers (in-person registration, documentation requirements, 1-2 hour wait, advance scheduling) are especially burdensome for someone with an inflexible full-time job, low income, no regular healthcare provider, and childcare responsibilities. Her medium trust provides some baseline motivation, but the high logistical costs likely outweigh it.""}",True,28,True,"Multiple structural barriers (in-person registration, documentation requirements, 1-2 hour wait, advance scheduling) are especially burdensome for someone with an inflexible full-time job, low income, no regular healthcare provider, and childcare responsibilities. Her medium trust provides some baseline motivation, but the high logistical costs likely outweigh it.",True,2026-06-04T20:26:44.298728+00:00,0,default,"{""id"": ""gen-1780604801-cJS4Z1l6aIYYNci0XLsI"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,high,2,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""Significant logistical barriers—in-person registration requiring documentation, 1-2 hour wait, and advance scheduling—conflict with her inflexible full-time job and childcare responsibilities. With only medium trust and no regular healthcare provider, these high friction requirements likely outweigh her motivation to vaccinate.""}",True,28,True,"Significant logistical barriers—in-person registration requiring documentation, 1-2 hour wait, and advance scheduling—conflict with her inflexible full-time job and childcare responsibilities. With only medium trust and no regular healthcare provider, these high friction requirements likely outweigh her motivation to vaccinate.",True,2026-06-04T20:26:47.283758+00:00,0,default,"{""id"": ""gen-1780604804-4Xn05zIIvJVKJ5xgueVb"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,high,3,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""Although she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: a full-time job without easy time off, a young child to care for, and the need for in-person registration with documentation, paper forms, and 1-2 hour waits. These logistical and time burdens, combined with lacking a regular healthcare provider, make follow-through unlikely despite no outright opposition to vaccination.""}",True,28,True,"Although she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: a full-time job without easy time off, a young child to care for, and the need for in-person registration with documentation, paper forms, and 1-2 hour waits. These logistical and time burdens, combined with lacking a regular healthcare provider, make follow-through unlikely despite no outright opposition to vaccination.",True,2026-06-04T20:26:50.513992+00:00,0,default,"{""id"": ""gen-1780604807-aRTu3ZNYRVwl0XcDrAZx"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,high,4,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 25, ""rationale"": ""Significant logistical barriers—in-person registration, documentation requirements, long wait times, and inflexible work hours combined with childcare responsibilities—make this scenario very burdensome. Her low income and lack of a regular healthcare provider further reduce her capacity to navigate the process, and only medium trust in authorities offers limited motivation to overcome these obstacles.""}",True,25,True,"Significant logistical barriers—in-person registration, documentation requirements, long wait times, and inflexible work hours combined with childcare responsibilities—make this scenario very burdensome. Her low income and lack of a regular healthcare provider further reduce her capacity to navigate the process, and only medium trust in authorities offers limited motivation to overcome these obstacles.",True,2026-06-04T20:26:54.242778+00:00,0,default,"{""id"": ""gen-1780604810-HjWbQGbeWknuCQeBv8o5"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,P01,high,5,"A 35-year-old woman living in a suburban area. Her household income is about $20,000 per year. She has a high school education. She works full-time in a job that does not allow time off easily. She has a 3-year-old child. She does not have a regular doctor or health clinic. Her trust in public health authorities is medium.","The person must register in person at a designated public health center. The person must bring income verification and proof of residency. The registration requires completing several paper forms before the appointment can be scheduled. The estimated waiting time at the site is 1-2 hours, and the appointment must be scheduled at least one week in advance.","{""willingness"": 28, ""rationale"": ""The in-person registration with documentation requirements, paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for someone working a full-time job with little flexibility and caring for a young child. Her limited income, lack of a regular healthcare provider, and only medium trust further reduce her likelihood of overcoming these logistical hurdles.""}",True,28,True,"The in-person registration with documentation requirements, paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for someone working a full-time job with little flexibility and caring for a young child. Her limited income, lack of a regular healthcare provider, and only medium trust further reduce her likelihood of overcoming these logistical hurdles.",True,2026-06-04T20:26:57.421056+00:00,0,default,"{""id"": ""gen-1780604814-m6F5NdNuPwFoCbX703we"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
