model,profile_id,repetition,w_low,w_high,delta,low_rationale,high_rationale
Claude Opus 4.8,P01,1,70,28,42,"The scenario removes major structural barriers this person faces: the extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process respects her time constraints as a working single parent. Her medium trust in public health authorities moderates her enthusiasm somewhat, keeping willingness solidly positive but not maximal.","Multiple structural barriers (in-person registration, documentation requirements, 1-2 hour wait, advance scheduling) are especially burdensome for someone with an inflexible full-time job, low income, no regular healthcare provider, and childcare responsibilities. Her medium trust provides some baseline motivation, but the high logistical costs likely outweigh it."
Claude Opus 4.8,P01,2,70,28,42,"The scenario removes major barriers this person faces: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy compensates for lacking a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is manageable. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible logistics make her moderately-to-strongly likely to proceed.","Significant logistical barriers—in-person registration requiring documentation, 1-2 hour wait, and advance scheduling—conflict with her inflexible full-time job and childcare responsibilities. With only medium trust and no regular healthcare provider, these high friction requirements likely outweigh her motivation to vaccinate."
Claude Opus 4.8,P01,3,70,28,42,"The scenario removes most practical barriers that would affect this person: extended evening/weekend hours accommodate her inflexible work schedule, the nearby pharmacy offsets her lack of a regular provider, minimal documentation suits her circumstances, and the short 15-minute commitment is low-burden. Her medium trust in public health authorities tempers full enthusiasm, but the convenience strongly supports a moderately high willingness.","Although she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: a full-time job without easy time off, a young child to care for, and the need for in-person registration with documentation, paper forms, and 1-2 hour waits. These logistical and time burdens, combined with lacking a regular healthcare provider, make follow-through unlikely despite no outright opposition to vaccination."
Claude Opus 4.8,P01,4,68,25,43,"The scenario removes most of her key barriers: the nearby pharmacy with evening/weekend hours accommodates her inflexible work schedule, no special documentation is needed, and the quick 15-minute process suits a single parent with a young child. Her medium trust in public health authorities and lack of a regular provider temper her willingness somewhat, but the high convenience makes her moderately-to-strongly likely to proceed.","Significant logistical barriers—in-person registration, documentation requirements, long wait times, and inflexible work hours combined with childcare responsibilities—make this scenario very burdensome. Her low income and lack of a regular healthcare provider further reduce her capacity to navigate the process, and only medium trust in authorities offers limited motivation to overcome these obstacles."
Claude Opus 4.8,P01,5,68,28,40,"The scenario removes major barriers that matter for this person: extended evening/weekend hours accommodate her inflexible job, the nearby pharmacy bypasses her lack of a regular doctor, minimal documentation suits her circumstances, and the quick 15-minute process is convenient. Her medium trust in public health authorities tempers full enthusiasm, but the highly accessible, low-friction setup makes her moderately-to-fairly likely to proceed.","The in-person registration with documentation requirements, paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for someone working a full-time job with little flexibility and caring for a young child. Her limited income, lack of a regular healthcare provider, and only medium trust further reduce her likelihood of overcoming these logistical hurdles."
Claude Opus 4.8,P02,1,74,28,46,"The scenario removes most of her key barriers—the nearby pharmacy with evening/weekend hours accommodates her inflexible job and distant clinic, the quick 15-minute process suits a busy parent, and minimal documentation lowers friction. Her medium trust in public health tempers full enthusiasm, but the convenient logistics make her fairly likely to proceed.","While she has medium trust in public health authorities, the registration process presents significant practical barriers: she works full-time with little flexibility, has a young child, lives far from her clinic, and faces a long in-person process requiring documentation and waiting. These logistical and time constraints substantially lower her likelihood of following through despite no strong ideological opposition."
Claude Opus 4.8,P02,2,72,28,44,"The scenario removes most of this person's key barriers: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, online scheduling is convenient, and minimal documentation plus a short 15-minute visit reduce friction. Her medium trust in public health authorities tempers full enthusiasm, but the strong accessibility match makes her reasonably likely to proceed.","While she has medium trust in public health, the scenario presents major logistical barriers: a job with no time off, a young child, a distant clinic, in-person registration with documentation requirements, and a 1-2 hour wait. These cumulative obstacles make it difficult for a low-income, time-constrained working mother to follow through despite moderate baseline interest."
Claude Opus 4.8,P02,3,72,28,44,"The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours addresses her inflexible job and distant clinic, the quick 15-minute process and minimal documentation ease logistical and time constraints. Her medium trust in public health keeps willingness from being higher, but the convenience strongly supports follow-through.","Significant logistical barriers—in-person registration, document requirements, long wait times, advance scheduling, and a far clinic—conflict heavily with her inflexible full-time job, low income, and childcare responsibilities. Her medium trust provides some motivation, but the practical hurdles likely outweigh her willingness to follow through."
Claude Opus 4.8,P02,4,72,28,44,"The scenario removes major barriers this person faces: the nearby pharmacy with evening/weekend hours accommodates her inflexible full-time job, the quick 15-minute visit and minimal documentation reduce logistical friction, and online scheduling is convenient. Her medium trust in public health authorities and competing demands as a working single-income parent temper her willingness somewhat, but the highly accessible setup makes her fairly likely to proceed.","While her medium trust in public health doesn't strongly oppose vaccination, the in-person registration with documentation requirements, long wait times, and inflexible work schedule create substantial barriers. With a young child, far clinic, and a job that doesn't allow time off, the logistical burdens likely outweigh her moderate motivation."
Claude Opus 4.8,P02,5,72,28,44,"The scenario removes nearly all of this person's key barriers: a nearby pharmacy with evening/weekend hours addresses her inflexible work schedule and distant clinic, minimal documentation suits her resources, and the quick 15-minute visit fits around childcare needs. Her medium trust in public health authorities is the main moderating factor keeping willingness from being higher.","While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers strongly discourage follow-through: she has an inflexible full-time job with no easy time off, a young child to care for, documentation requirements, and a 1-2 hour wait plus a week's advance scheduling. These friction points are especially burdensome for a low-income working mother and significantly reduce the likelihood she completes the process."
