"rationale_id","rationale_text","human_access_barriers","human_collective_responsibility","human_coercive_backlash","human_autonomy_infringement","human_procedural_legitimacy"
"R152","Multiple significant barriers reduce willingness: inflexible work schedule makes taking time off difficult, low household income creates opportunity costs for a 1-2 hour visit, distant clinic location adds travel burden, and the multi-step registration process (in-person visit, documentation gathering, forms completion, advance scheduling) requires substantial planning effort. Medium trust in authorities provides minimal motivation to overcome these obstacles.","","","","",""
"R063","Multiple barriers significantly reduce willingness: inflexible work schedule makes taking time off difficult, lack of regular healthcare provider creates friction, required in-person registration with documentation gathering adds administrative burden, and 1-2 hour wait time is substantial. Medium trust in authorities provides minimal motivation to overcome these obstacles.","","","","",""
"R080","She has moderate facilitating factors (regular doctor, flexible work hours, medium trust in authorities) but faces significant barriers: administrative burden (multiple forms, documentation requirements), time investment (1-2 hour wait plus advance scheduling), and logistical complexity. Her medium trust and part-time income status suggest she may be motivated by health concerns but could be deterred by the procedural friction.","","","","",""
"R157","The combination of logistical barriers (distant clinic, 1-2 hours waiting time, advance scheduling requirement) and administrative burden (multiple forms, documentation requirements) creates significant friction. Her part-time flexible schedule provides some accommodation, but the need to arrange childcare for a 3-year-old and travel distance to an unfamiliar public health center, coupled with medium trust in authorities, likely reduces her willingness to follow through despite having moderate income and access to healthcare.","","","","",""
"R106","While her flexible schedule and medium trust in authorities are moderately supportive, significant barriers substantially reduce willingness: the distant clinic location, substantial time commitment (1-2 hours wait plus travel), administrative burden (multiple forms, documentation requirements), and the one-week advance scheduling constraint create friction. Her low household income may also increase sensitivity to time costs and transportation expenses.","","","","",""
"R140","The substantial barriers—distant clinic location, required in-person registration with documentation, multiple forms, 1-2 hours waiting time, and advance scheduling—create significant friction. Her part-time flexible work and childcare responsibilities make time commitment difficult. Medium trust in authorities and moderate income provide some motivation, but the cumulative administrative burden likely outweighs these factors.","","","","",""
"R165","She has favorable baseline factors (easy doctor access, medium trust in authorities, flexible schedule as self-employed), but the scenario presents moderate friction: multiple administrative requirements (income verification, residency proof, paper forms), advance scheduling, and 1-2 hour wait time. These barriers are manageable but not trivial for a busy parent, likely reducing her willingness from what it would be with simpler access.","","","","",""
"R126","She has favorable factors (easy doctor access, medium trust in authorities, flexible schedule as self-employed) but faces significant barriers: low income makes time away from work costly, multiple documentation requirements and paperwork create friction, and the 1-2 hour wait plus advance scheduling requirement add substantial inconvenience. Her medium trust in authorities and existing healthcare relationship provide some motivation, but the cumulative burden of administrative steps and time investment likely creates hesitation.","","","","",""
"R190","Multiple barriers significantly reduce willingness: the requirement for in-person registration with documentation (income verification, proof of residency) creates logistical friction for someone with limited income and no established healthcare provider; the 1-2 hour wait time and advance scheduling requirement conflict with her part-time flexible work schedule; and the multi-step paper process adds complexity. Her medium trust in authorities provides some counterbalance, but the cumulative access barriers likely outweigh her motivation.","","","","",""
"R121","She has moderate facilitating factors (regular doctor, flexible work hours, medium trust in authorities) but faces significant barriers: administrative burden (multiple forms, documentation requirements), time investment (1-2 hour wait plus advance scheduling), and logistical complexity. Her medium trust and part-time income status suggest she's not highly motivated to overcome these obstacles, resulting in slightly above-neutral willingness.","","","","",""
