model,provider,deployment,profile_id,repetition,rationale_high,autonomy_infringement,procedural_legitimacy,collective_responsibility,access_barriers,coercive_backlash
GPT-4.1,OpenAI,,P01,1,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P01,2,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P01,3,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P01,4,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P01,5,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P02,1,"The in-person registration, long wait times, and need for documentation create significant barriers for someone with limited income, a young child, and inflexible work hours. While she has some trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P02,2,"The in-person registration, long wait times, and need for documentation create significant barriers for someone with limited income, a young child, and inflexible work hours. While she has some trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P02,3,"The in-person registration, paperwork, and long wait times are significant barriers for someone with limited income, a young child, and a job that doesn't allow easy time off. While she has some trust in public health, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P02,4,"The in-person registration, required documentation, long wait times, and need to schedule time off work create significant barriers. While she has some trust in public health and a regular doctor, these logistical challenges make her less likely to proceed.",0,0,1,0,0
GPT-4.1,OpenAI,,P02,5,"The in-person registration, long wait times, and need for documentation create significant barriers for someone with limited income, a young child, and inflexible work hours. While she has some trust in public health and a regular doctor, the logistical challenges lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P03,1,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has some trust in public health and access to a doctor, the logistical challenges lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P03,2,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has medium trust in public health and access to a doctor, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P03,3,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has some trust in public health and access to a doctor, the logistical challenges make her less likely to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P03,4,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job and childcare responsibilities. While she has medium trust in public health and access to a doctor, the logistical challenges lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P03,5,"The in-person registration, paperwork, and long wait time are significant barriers for someone with a demanding job and childcare responsibilities. While she has medium trust in public health and access to a doctor, the logistical challenges lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P04,1,"The in-person registration, paperwork, and long wait times are significant barriers for someone with limited income, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges may discourage her from proceeding.",0,0,1,1,0
GPT-4.1,OpenAI,,P04,2,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a young child, low income, and no regular healthcare provider. While she has some trust in public health, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P04,3,"The in-person registration, paperwork, and long wait times are significant barriers for someone with limited income, childcare responsibilities, and no regular healthcare provider. While she has some trust in public health, the logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P04,4,"The in-person registration, paperwork, and long wait times are significant barriers for someone with limited income, childcare responsibilities, and no regular healthcare provider. While she has some trust in public health, the logistical challenges lower her willingness to proceed.",0,0,1,1,0
GPT-4.1,OpenAI,,P04,5,"The in-person registration, paperwork, and long wait times are significant barriers for someone with limited income, childcare responsibilities, and no regular healthcare provider. While she has some trust in public health, the logistical challenges may discourage her from proceeding.",0,0,1,1,0
GPT-4.1,OpenAI,,P05,1,"The in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. While she has some trust in public health and flexible work hours, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P05,2,"The in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. While she has some trust in public health and flexible work hours, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P05,3,"The in-person registration, required documentation, and long wait times are significant barriers, especially with a young child and limited income. While she has some trust in public health and flexible work hours, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P05,4,"The in-person registration, required documentation, and long wait times are significant barriers, especially with a young child and limited income. While she has some trust in public health and flexible work hours, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P05,5,"The in-person registration, required documentation, and long wait times create significant barriers, especially with a young child and limited income. While she has some trust in public health and flexible work hours, the inconvenience and logistical challenges lower her willingness.",0,0,1,1,0
GPT-4.1,OpenAI,,P06,1,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health and flexible work hours make her somewhat willing, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P06,2,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health and flexible work hours make her somewhat willing, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P06,3,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health and flexible work hours make her somewhat willing, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P06,4,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health and flexible work hours make her somewhat willing, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P06,5,"She values her health and has access to a regular doctor, but the in-person registration, paperwork, and long wait times are significant barriers, especially with a young child and limited income. Her medium trust in public health and flexible work hours make her somewhat willing, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P07,1,"She values her health and her child's, but the in-person registration, paperwork, and long wait are significant barriers, especially without a regular doctor and with childcare needs. Her medium trust in public health and flexible schedule increase willingness somewhat, but logistical hurdles lower it.",0,0,1,1,0
GPT-4.1,OpenAI,,P07,2,"She values her health and her child's, but the in-person registration, paperwork, and long wait are significant barriers, especially with childcare needs and limited resources. Her medium trust in public health and flexible schedule increase willingness somewhat, but the process is inconvenient.",0,0,1,1,0
GPT-4.1,OpenAI,,P07,3,"She values her health and her child's, and has a flexible schedule, but the in-person registration, paperwork, and long wait times are significant barriers, especially without a regular healthcare provider. Her medium trust in public health and low income may also make the process feel burdensome.",0,0,1,1,0
GPT-4.1,OpenAI,,P07,4,"She may be moderately willing due to her ability to control her schedule and medium trust in public health, but the burdensome registration process, required documentation, and long wait times could be significant deterrents, especially as a parent of a young child without regular healthcare access.",0,0,1,0,0
GPT-4.1,OpenAI,,P07,5,"She values her health and her child's, but the in-person registration, paperwork, and long wait are significant barriers, especially without a regular doctor and with limited income. Her flexible schedule helps, but the process is inconvenient and may deter her somewhat.",0,0,0,1,0
