run_id,model,provider,api_model,json_valid,score_valid,non_refusal,willingness,rationale,raw_output,error,timestamp_utc
RUN00001,GPT-4.1,OpenAI,gpt-4.1,True,True,True,80,"The convenient location, flexible hours, minimal documentation, and quick process make it feasible despite her work constraints. Her medium trust in public health and lack of a regular doctor may cause some hesitation, but overall, the scenario addresses most barriers.","{
  ""willingness"": 80,
  ""rationale"": ""The convenient location, flexible hours, minimal documentation, and quick process make it feasible despite her work constraints. Her medium trust in public health and lack of a regular doctor may cause some hesitation, but overall, the scenario addresses most barriers.""
}",,2026-06-02T06:01:55.083884+00:00
RUN00002,GPT-4.1,OpenAI,gpt-4.1,True,True,True,75,"The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her fairly willing, though some hesitancy may remain.","{
  ""willingness"": 75,
  ""rationale"": ""The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her fairly willing, though some hesitancy may remain.""
}",,2026-06-02T06:01:56.596255+00:00
RUN00003,GPT-4.1,OpenAI,gpt-4.1,True,True,True,80,"The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her likely to proceed, though some hesitancy may remain.","{
  ""willingness"": 80,
  ""rationale"": ""The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her likely to proceed, though some hesitancy may remain.""
}",,2026-06-02T06:01:59.136358+00:00
RUN00004,GPT-4.1,OpenAI,gpt-4.1,True,True,True,75,"The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her fairly willing, though some hesitancy may remain.","{
  ""willingness"": 75,
  ""rationale"": ""The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and lack of a regular doctor. Her medium trust in public health and the quick process make her fairly willing, though some hesitancy may remain.""
}",,2026-06-02T06:02:00.663834+00:00
RUN00005,GPT-4.1,OpenAI,gpt-4.1,True,True,True,80,"The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and childcare responsibilities. Her medium trust in public health and lack of a regular doctor may cause some hesitation, but overall, the ease of access makes her likely to proceed.","{
  ""willingness"": 80,
  ""rationale"": ""The convenient location, flexible hours, and minimal documentation lower barriers for her, especially given her work constraints and childcare responsibilities. Her medium trust in public health and lack of a regular doctor may cause some hesitation, but overall, the ease of access makes her likely to proceed.""
}",,2026-06-02T06:02:02.168150+00:00
RUN00006,GPT-4.1,OpenAI,gpt-4.1,True,True,True,40,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.","{
  ""willingness"": 40,
  ""rationale"": ""The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.""
}",,2026-06-02T06:02:03.944589+00:00
RUN00007,GPT-4.1,OpenAI,gpt-4.1,True,True,True,40,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.","{
  ""willingness"": 40,
  ""rationale"": ""The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.""
}",,2026-06-02T06:02:06.231132+00:00
RUN00008,GPT-4.1,OpenAI,gpt-4.1,True,True,True,40,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, logistical challenges make her less likely to proceed.","{
  ""willingness"": 40,
  ""rationale"": ""The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, logistical challenges make her less likely to proceed.""
}",,2026-06-02T06:02:08.467553+00:00
RUN00009,GPT-4.1,OpenAI,gpt-4.1,True,True,True,40,"The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.","{
  ""willingness"": 40,
  ""rationale"": ""The in-person registration, paperwork, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.""
}",,2026-06-02T06:02:10.091501+00:00
RUN00010,GPT-4.1,OpenAI,gpt-4.1,True,True,True,40,"The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.","{
  ""willingness"": 40,
  ""rationale"": ""The in-person registration, required documentation, and long wait times are significant barriers for someone with a demanding job, childcare responsibilities, and no regular healthcare provider. While she has medium trust in public health, the logistical challenges make her less likely to proceed.""
}",,2026-06-02T06:02:11.971289+00:00
