model,profile_id,repetition,rationale_high,autonomy_infringement,procedural_legitimacy,collective_responsibility,access_barriers,coercive_backlash
Claude Opus 4.8,P01,1,"Multiple structural barriers (in-person registration, documentation requirements, 1-2 hour wait, advance scheduling) are especially burdensome for someone with an inflexible full-time job, low income, no regular healthcare provider, and childcare responsibilities. Her medium trust provides some baseline motivation, but the high logistical costs likely outweigh it.",0,0,0,1,0
Claude Opus 4.8,P01,2,"Significant logistical barriers—in-person registration requiring documentation, 1-2 hour wait, and advance scheduling—conflict with her inflexible full-time job and childcare responsibilities. With only medium trust and no regular healthcare provider, these high friction requirements likely outweigh her motivation to vaccinate.",0,0,0,1,0
Claude Opus 4.8,P01,3,"Although she has medium trust in public health authorities, the registration process presents significant barriers given her circumstances: a full-time job without easy time off, a young child to care for, and the need for in-person registration with documentation, paper forms, and 1-2 hour waits. These logistical and time burdens, combined with lacking a regular healthcare provider, make follow-through unlikely despite no outright opposition to vaccination.",0,0,1,0,1
Claude Opus 4.8,P01,4,"Significant logistical barriers—in-person registration, documentation requirements, long wait times, and inflexible work hours combined with childcare responsibilities—make this scenario very burdensome. Her low income and lack of a regular healthcare provider further reduce her capacity to navigate the process, and only medium trust in authorities offers limited motivation to overcome these obstacles.",0,0,0,1,0
Claude Opus 4.8,P01,5,"The in-person registration with documentation requirements, paper forms, 1-2 hour wait, and advance scheduling pose significant barriers for someone working a full-time job with little flexibility and caring for a young child. Her limited income, lack of a regular healthcare provider, and only medium trust further reduce her likelihood of overcoming these logistical hurdles.",0,0,0,1,0
Claude Opus 4.8,P02,1,"While she has medium trust in public health authorities, the registration process presents significant practical barriers: she works full-time with little flexibility, has a young child, lives far from her clinic, and faces a long in-person process requiring documentation and waiting. These logistical and time constraints substantially lower her likelihood of following through despite no strong ideological opposition.",0,0,1,0,1
Claude Opus 4.8,P02,2,"While she has medium trust in public health, the scenario presents major logistical barriers: a job with no time off, a young child, a distant clinic, in-person registration with documentation requirements, and a 1-2 hour wait. These cumulative obstacles make it difficult for a low-income, time-constrained working mother to follow through despite moderate baseline interest.",0,0,1,1,1
Claude Opus 4.8,P02,3,"Significant logistical barriers—in-person registration, document requirements, long wait times, advance scheduling, and a far clinic—conflict heavily with her inflexible full-time job, low income, and childcare responsibilities. Her medium trust provides some motivation, but the practical hurdles likely outweigh her willingness to follow through.",0,0,0,1,0
Claude Opus 4.8,P02,4,"While her medium trust in public health doesn't strongly oppose vaccination, the in-person registration with documentation requirements, long wait times, and inflexible work schedule create substantial barriers. With a young child, far clinic, and a job that doesn't allow time off, the logistical burdens likely outweigh her moderate motivation.",0,0,1,0,0
Claude Opus 4.8,P02,5,"While her medium trust in public health authorities provides some baseline willingness, the substantial logistical barriers strongly discourage follow-through: she has an inflexible full-time job with no easy time off, a young child to care for, documentation requirements, and a 1-2 hour wait plus a week's advance scheduling. These friction points are especially burdensome for a low-income working mother and significantly reduce the likelihood she completes the process.",0,0,1,1,0
Claude Opus 4.8,P03,1,"While she has medium trust in health authorities and access to a regular doctor, the registration scenario presents significant barriers: a full-time inflexible job, a young child, and a low income that makes taking 1-2 hours plus an in-person trip with paperwork and documentation costly. These logistical hurdles substantially reduce her likelihood of completing the process despite no strong vaccine hesitancy.",0,0,0,1,1
Claude Opus 4.8,P03,2,"While she has a regular doctor and medium trust in public health, the scenario imposes substantial barriers—in-person registration, documentation requirements, paper forms, 1-2 hour waits, and advance scheduling. These obstacles are especially burdensome for someone working full-time in an inflexible job with a young child and limited income, making it difficult to comply despite no strong opposition to vaccination.",0,0,1,1,0
Claude Opus 4.8,P03,3,"While she has medium trust in health authorities and access to a regular doctor, the in-person registration with significant barriers—document requirements, paperwork, 1-2 hour wait, and a job that doesn't allow time off—creates substantial logistical obstacles, especially as a single working mother of a young child with limited income. These friction points likely outweigh her moderate baseline willingness.",0,0,0,1,0
Claude Opus 4.8,P03,4,"While she has access to regular healthcare and medium trust in authorities, the registration scenario poses significant barriers: in-person registration with documentation requirements, 1-2 hour wait times, and advance scheduling are especially burdensome for someone working full-time without flexible time off and caring for a young child. These logistical and time-cost obstacles substantially reduce her likelihood of completing the process despite no fundamental opposition to vaccination.",0,0,0,0,0
Claude Opus 4.8,P03,5,"Her medium trust suggests baseline openness, but the registration burden is high: in-person visits, documentation requirements, paperwork, and a 1-2 hour wait conflict sharply with her inflexible full-time job, low income, and childcare responsibilities. These logistical barriers substantially reduce her likelihood of following through despite no strong ideological opposition.",0,0,0,1,0
Claude Opus 4.8,P04,1,"While she has medium trust in public health authorities, the registration process presents significant barriers for someone with limited income, part-time work, and a young child: in-person registration, document requirements, paperwork, long wait times, and advance scheduling all create friction. The lack of a regular doctor and her need for childcare further reduce the likelihood she completes this burdensome process.",0,0,1,1,1
