model,provider,deployment,api_model,item_order,item_id,dimension,reverse_coded,coding_direction,item_text,raw_score,score_valid,score_recoded
GPT-4.1,OpenAI,official_api,gpt-4.1,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",,,
GPT-4.1,OpenAI,official_api,gpt-4.1,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",,,
GPT-4.1,OpenAI,official_api,gpt-4.1,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",,,
GPT-4.1,OpenAI,official_api,gpt-4.1,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,,,
GPT-4.1,OpenAI,official_api,gpt-4.1,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,,,
GPT-4.1 mini,OpenAI,official_api,gpt-4.1-mini,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,,,
