model,provider,deployment,api_model,item_order,item_id,dimension,reverse_coded,coding_direction,item_text,raw_score,score_valid,score_recoded
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,3,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,5,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",5,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,10,CO4,CO,1,"Negative, R",Individual convenience should not be sacrificed for collective benefits.,2,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,11,AP2,AP,1,"Negative, R",It is acceptable for public programs to limit individual discretion when doing so improves administrative efficiency.,4,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,12,ST1,ST,0,Positive,Public health agencies can generally be trusted to make decisions that protect the well-being of the population.,4,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,13,BS3,BS,0,Positive,Even small procedural barriers can deter eligible individuals from receiving public benefits.,6,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,14,CA4,CA,1,"Negative, R",Coercive policy tools are sometimes necessary to protect public health.,5,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,15,CO2,CO,1,"Negative, R",Individuals should not be expected to tolerate inconvenience for the sake of public health goals.,2,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,16,AP3,AP,0,Positive,Policies that reduce personal choice raise ethical concerns even when they improve program performance.,5,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,17,ST2,ST,1,"Negative, R",Government administrative requirements are often arbitrary obstacles that discourage people from accessing services.,4,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,18,BS4,BS,1,"Negative, R",The inconvenience of administrative procedures is usually exaggerated.,2,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,19,CO3,CO,0,Positive,People should be willing to accept some procedural burden if it helps protect vulnerable groups.,6,1,
Claude Sonnet 4.6,Anthropic,official_api,claude-sonnet-4-6,20,CA1,CA,0,Positive,Fines or penalties are likely to increase resentment when used to encourage health behavior.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,1,AP1,AP,0,Positive,Public programs should preserve meaningful individual choice whenever possible.,6,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,2,BS2,BS,1,"Negative, R",Most people can easily navigate government paperwork without major difficulty.,3,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,3,ST3,ST,0,Positive,Public agencies generally have legitimate reasons for requiring procedures in public programs.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,4,CA2,CA,1,"Negative, R","When voluntary measures are insufficient, it is legitimate for the government to impose penalties to achieve public health goals.",5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,5,CO1,CO,0,Positive,"When public health is at stake, individuals have a civic duty to comply with reasonable administrative procedures.",6,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,6,AP4,AP,1,"Negative, R",Individual privacy concerns should sometimes yield to legitimate public administrative needs.,5,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,7,BS1,BS,0,Positive,"Forms, waiting times, and documentation requirements can significantly reduce access to public services.",6,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,8,ST4,ST,1,"Negative, R",Bureaucratic procedures are more about protecting agency convenience than serving citizens.,3,1,
DeepSeek-V3.2,DeepSeek,official_api,deepseek-chat,9,CA3,CA,0,Positive,Mandates and enforcement mechanisms tend to backfire by undermining trust and motivation.,4,1,
